Restaurant_ID,Restaurant_Name,Cuisines,Price_for_One,Delivery_Time,Location,Rating,Delivery_review_number,,,
100058,Corner House Ice Cream,"Ice Cream, Desserts",125,22,Ashok Nagar,4.7,10000,,,
100059,Cafe Amudham,"South Indian, Snacks",200,27,Jayanagar,4.6,1000,,,
100060,Tomba kitchen,Chinese,150,45,Ejipura,4.3,1000,,,
100061,Sharief Bhai,"Mughlai, Biryani, Arabian, Kebabs, Beverages, Desserts",200,35,Frazer Town,4.2,10000,,,
100062,Polamma's Mess,"Indian, Biryani",125,28,Adugodi,4.3,1000,,,
100063,New Alameen Restaurant,"Biryani, Kerala, Meat, North Indian, South Indian",150,27,Halasuru,3.9,1000,,,
100064,A2B - Adyar Ananda Bhavan,"South Indian, North Indian, Sweets, Chinese",150,30,Shanti Nagar,4.4,10000,,,
100065,Kanti Sweets,Sweets,75,19,Ashok Nagar,4.5,1000,,,
100066,Imperial Restaurant,"Tandoor, Biryani, Kerala, South Indian, North Indian, Chinese, Beverages",200,36,Vasanth Nagar,4.2,5000,,,
100067,Udupi Shanthi Sagar,"South Indian, Beverages",100,35,Frazer Town,4.4,1000,,,
100068,Hyderabad Biryani Hotel,"Biryani, Chinese, Hyderabadi, Andhra, North Indian",250,29,Malleshwaram,4.2,5000,,,
100069,The Purple Pan,"Mughlai, North Indian, Chinese, Arabian, Biryani, Tandoor",200,35,Rajajinagar,4,10000,,,
100070,Sri Udupi Food Hub,"South Indian, North Indian, Indian, Chinese, Chaat, Ice Cream, Desserts, Beverages",100,28,Majestic,4.2,100,,,
100071,Marwadi Chaat &amp; Tiffin Services Shanti nagar,"Rajasthani, North Indian, Snacks, Chaat",150,20,Shanthi Nagar,3.7,5000,,,
100072,Thalairaj Biryani,"Andhra, Biryani, Hyderabadi, South Indian, Indian, Combo, Beverages",150,35,Indiranagar,4.2,1000,,,
100073,Bakingo,"Bakery, Desserts, Beverages, Snacks",150,24,Vasanth Nagar,4.4,500,,,
100074,Glen's Bakehouse,"Desserts, Bakery, Beverages, Continental, Italian",250,19,Ashok Nagar,4.4,10000,,,
100075,Andhra Gunpowder,"Andhra, Biryani, South Indian",175,24,Seshadripuram,4.4,500,,,
100076,Bhartiya Jalpan,"North Indian, Sweets, Desserts, Chaat",135,30,Commercial Street,4.2,10000,,,
100077,Nagarjuna Chimney,"Seafood, Andhra, Biryani, South Indian, Desserts, Beverages",400,37,Jaya Nagar,4.3,10000,,,
100078,Homely,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis",100,32,Shanti Nagar,4.4,1000,,,
100079,Call Me Chow,"Chinese, Pan-Asian",200,46,Koramangala,4.3,10000,,,
100080,Roti Walaa,"Home Food, North Indian, Thalis",100,52,Koramangala,4.2,500,,,
100081,Sagar fast food,"Chinese, South Indian, North Indian",100,32,Koramangala,4.4,5000,,,
100082,Chowman,"Chinese, Thai, Seafood, Beverages, Desserts",400,48,Indiranagar,4.2,5000,,,
100083,Biryani By Kilo,"Biryani, Hyderabadi, North Indian, Kebabs, Mughlai, Desserts",250,54,Koramangala,4,1000,,,
100084,Sultan Rolls &amp; Sandwiches,"Snacks, Chinese, Biryani",75,38,Btm Layout,3.6,500,,,
100085,Wendy's,"Fast Food, Snacks, American, Burgers, Desserts, Beverages",100,25,Residency Road,4,1000,,,
100086,Natural Ice Cream,"Ice Cream, Desserts",75,17,St Marks Road,4.6,5000,,,
100087,Dindigul Thalappakatti,"Biryani, Barbecue, South Indian, Chinese, North Indian",325,26,MG Road,4,5000,,,
100088,MTR,South Indian,150,16,St Marks Road,4.4,10000,,,
100089,Chicken County Restaurant,"North Indian, Chinese, Tandoor, Grill, Biryani, Kebabs, Ice Cream, Juices, South Indian",100,38,Majestic,3.9,100,,,
100090,Beijing Bites,Chinese,225,26,Richmond Road,4.1,10000,,,
100091,Sri Nayvedya Veg,South Indian,75,29,Jayanagar,4.4,1000,,,
100092,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",100,34,Basavanagudi,4.3,1000,,,
100093,Suchi Ruchi,"South Indian, Chinese, Chaat, North Indian, Snacks",100,33,Malleshwaram,4,10000,,,
100094,Chickpet Donne Biryani House,"Biryani, Kebabs, South Indian",125,32,Jayanagar,3.9,100,,,
100095,WarmOven Cake &amp; Desserts,"Bakery, Desserts, Ice Cream, Beverages",100,34,Vasanth Nagar,3.7,500,,,
100096,Anjappar,"Chettinad, Thalis, Biryani, Chinese, Tandoor, South Indian, North Indian",200,29,Brigade Road,4,1000,,,
100097,Sri Rajarajeshwari Iyer Mess,South Indian,100,35,Malleshwaram,4.4,1000,,,
100098,Gowdru Hotel,South Indian,75,38,Indiranagar,4.2,5000,,,
100099,Chinese Wok,"Chinese, Asian, Tibetan, Desserts",125,47,Malleshwaram,3.8,500,,,
100100,Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",200,25,Brigade Road,4.2,5000,,,
100101,Basaveshwar Khanavali,Indian,350,31,Ashok Nagar,4.4,100,,,
100102,Shahi Family Restaurant,"Seafood, Tandoor, Chinese, North Indian, South Indian",150,29,Ulsoor,3.7,1000,,,
100103,Asha Sweet Center,"Sweets, Snacks, Bakery, Desserts",125,24,Vasanth Nagar,4.5,100,,,
100104,Peetuk,"Bengali, Chinese",250,38,Domlur,4.1,5000,,,
100105,Rolls Kitchen,Fast Food,100,18,Shanti Nagar,4.4,10000,,,
100106,K.Iyer Mess ,South Indian,70,33,Malleshwaram,4.3,10000,,,
100107,Madurai Idly Shop,South Indian,75,30,Koramangala,4.1,10000,,,
100108,SLV Corner Restaurant,"Chinese, South Indian, North Indian, Desserts",225,31,Basavanagudi,4.5,10000,,,
100109,IDC Kitchen,"South Indian, North Indian, Indian",75,21,Sampangirama Nagar,4.5,5000,,,
100110,Amma's Pastries,"Bakery, Desserts",175,35,Frazer Town,4.3,100,,,
100111,Hotel Udupi Ruchi,"South Indian, Chinese, Desserts, North Indian",150,33,Rajajinagar,4.1,10000,,,
100112,Udupi Aatithya,"South Indian, Beverages",250,30,Basavanagudi,4.2,100,,,
100113,Onesta,"Italian, Desserts, Pizzas",100,47,Malleshwaram,3.7,100,,,
100114,CakeZone,"Bakery, Desserts, Sweets, Ice Cream",100,38,Domlur layout,4.4,10000,,,
100115,Asha Food Camp,Indian,125,31,Rajajinagar,4.4,1000,,,
100116,NIC Ice Creams,"Ice Cream, Desserts",60,27,Frazer Town,4.6,5000,,,
100117,Taste Of Tibet,Chinese,125,29,Brigade Road,4.2,500,,,
100118,Fanoos,"Biryani, Tandoor, Kebabs, Barbecue",150,39,Richmond Road,4.1,10000,,,
100119,Sri Krishna Sagar,"South Indian, North Indian, Beverages, Jain",100,36,Koramangala,4.3,10000,,,
100120,Pizza Box,Pizzas,200,46,Shivaji Nagar,3.7,20,,,
100121,Donne Biryani Adda,"Biryani, South Indian, Desserts, Beverages",100,36,Indiranagar,3.2,500,,,
100122,Khawa Karpo,Chinese,89,48,Koramangala,4.5,10000,,,
100123,Sagar Delicacy,"North Indian, South Indian, Chinese",150,37,Ulsoor,4.4,5000,,,
100124,Taco Bell,Mexican,150,39,Magrath Road,4.3,5000,,,
100125,Kesar Rajasthani Parotha Point,"Rajasthani, Indian",100,28,Basavanagudi,4.4,20,,,
100126,Thoms Bakery,"Bakery, Burgers, Desserts, Pizzas",300,28,Frazer Town,4.3,100,,,
